Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",3.953015580398115,-1.3492969788335945,12.142421849780577,0.747430706944877,15_Vertices_0.8_Sparsity,1
['vertex_to_global_color'],2.3455196955878517,0.9266252468616508,1.2926201880432855,0.2171814671814672,15_Vertices_0.8_Sparsity,1
vertex_unique_color,2.3151466731382424,0.96962793041923,5.215739391665721,0.6601005867560771,15_Vertices_0.8_Sparsity,1
adjacent_vertex,2.2972270992012436,0.9949987926301891,1.7659499443082445,0.42523033309709424,15_Vertices_0.8_Sparsity,1
vertex_to_global_color,2.3455196955878517,0.9266252468616508,1.356353804052266,0.2171814671814672,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3331841424692414,0.944090149742073,5.176394547733506,0.6893910379165071,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",3.8496650753726382,-1.2029714338372075,2.883458094498585,0.5042787286063569,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",3.953015580398115,-1.3492969788335945,12.142421849780577,0.747430706944877,15_Vertices_0.8_Sparsity,1
['vertex_to_global_color'],2.3455196955878517,0.9266252468616508,1.2926201880432855,0.2171814671814672,15_Vertices_0.8_Sparsity,1
vertex_unique_color,2.3151466731382424,0.96962793041923,5.215739391665721,0.6601005867560771,15_Vertices_0.8_Sparsity,1
adjacent_vertex,2.2972270992012436,0.9949987926301891,1.7659499443082445,0.42523033309709424,15_Vertices_0.8_Sparsity,1
vertex_to_global_color,2.3455196955878517,0.9266252468616508,1.356353804052266,0.2171814671814672,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3331841424692414,0.944090149742073,5.176394547733506,0.6893910379165071,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",3.8496650753726382,-1.2029714338372075,2.883458094498585,0.5042787286063569,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",3.953015580398115,-1.3492969788335945,12.142421849780577,0.747430706944877,15_Vertices_0.8_Sparsity,1
['vertex_to_global_color'],2.3455196955878517,0.9266252468616508,1.2926201880432855,0.2171814671814672,15_Vertices_0.8_Sparsity,1
vertex_unique_color,2.317178745798404,0.9986617076078657,3.753261554249785,0.4665284360189573,15_Vertices_0.2_Sparsity,2
adjacent_vertex,2.292608243419391,1.0007620239037933,5.393885567024126,0.580284316010254,15_Vertices_0.2_Sparsity,2
vertex_to_global_color,2.324192251827466,0.9980621846198048,1.1135060607279,0.11105626850937808,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3263230175061556,0.9978800441894334,3.2905530761233552,0.49986114968064427,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",0.9999999994378416,1.1112557418264541,8.323977784670408,0.6011957484499557,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",0.999999999416802,1.1112557418282525,18.321136728719484,0.7043178460022985,15_Vertices_0.2_Sparsity,2
['vertex_to_global_color'],2.324192251827466,0.9980621846198048,1.1468766812752131,0.11105626850937808,15_Vertices_0.2_Sparsity,2
vertex_unique_color,2.317178745798404,0.9986617076078657,3.753261554249785,0.4665284360189573,15_Vertices_0.2_Sparsity,2
adjacent_vertex,2.292608243419391,1.0007620239037933,5.393885567024126,0.580284316010254,15_Vertices_0.2_Sparsity,2
vertex_to_global_color,2.324192251827466,0.9980621846198048,1.1135060607279,0.11105626850937808,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3263230175061556,0.9978800441894334,3.2905530761233552,0.49986114968064427,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",0.9999999994378416,1.1112557418264541,8.323977784670408,0.6011957484499557,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",0.999999999416802,1.1112557418282525,18.321136728719484,0.7043178460022985,15_Vertices_0.2_Sparsity,2
['vertex_to_global_color'],2.324192251827466,0.9980621846198048,1.1468766812752131,0.11105626850937808,15_Vertices_0.2_Sparsity,2
vertex_unique_color,2.317178745798404,0.9986617076078657,3.753261554249785,0.4665284360189573,15_Vertices_0.2_Sparsity,2
adjacent_vertex,2.292608243419391,1.0007620239037933,5.393885567024126,0.580284316010254,15_Vertices_0.2_Sparsity,2
vertex_to_global_color,2.324192251827466,0.9980621846198048,1.1135060607279,0.11105626850937808,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3263230175061556,0.9978800441894334,3.2905530761233552,0.49986114968064427,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",0.9999999994378416,1.1112557418264541,8.323977784670408,0.6011957484499557,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",0.999999999416802,1.1112557418282525,18.321136728719484,0.7043178460022985,15_Vertices_0.2_Sparsity,2
['vertex_to_global_color'],2.324192251827466,0.9980621846198048,1.1468766812752131,0.11105626850937808,15_Vertices_0.2_Sparsity,2
vertex_unique_color,2.317178745798404,0.9986617076078657,3.753261554249785,0.4665284360189573,15_Vertices_0.2_Sparsity,2
adjacent_vertex,2.292608243419391,1.0007620239037933,5.393885567024126,0.580284316010254,15_Vertices_0.2_Sparsity,2
vertex_to_global_color,2.324192251827466,0.9980621846198048,1.1135060607279,0.11105626850937808,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3263230175061556,0.9978800441894334,3.2905530761233552,0.49986114968064427,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",0.9999999994378416,1.1112557418264541,8.323977784670408,0.6011957484499557,15_Vertices_0.2_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",0.999999999416802,1.1112557418282525,18.321136728719484,0.7043178460022985,15_Vertices_0.2_Sparsity,2
['vertex_to_global_color'],2.324192251827466,0.9980621846198048,1.1468766812752131,0.11105626850937808,15_Vertices_0.2_Sparsity,2
vertex_unique_color,2.3170669352093585,0.9976649838292568,3.5745029926805936,0.4928035043804756,15_Vertices_0.4_Sparsity,2
adjacent_vertex,2.2952329645480885,1.0009244789903664,4.041397673106775,0.5460655278633436,15_Vertices_0.4_Sparsity,2
vertex_to_global_color,2.324716763750846,0.9965229753736656,1.156740702514785,0.1218851570964247,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.3268294095866295,0.9962075879901382,3.5719263091004665,0.5261619409529378,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",10.386817015498893,-0.20703166737241374,6.635257496798704,0.5729715489989463,15_Vertices_0.4_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.329727217956703,-0.19850898857411448,13.449762356044584,0.6981940048408117,15_Vertices_0.4_Sparsity,2
['vertex_to_global_color'],2.324716763750846,0.9965229753736656,1.2267382732349634,0.1218851570964247,15_Vertices_0.4_Sparsity,2
vertex_unique_color,2.3170669352093585,0.9976649838292568,3.5745029926805936,0.4928035043804756,15_Vertices_0.4_Sparsity,2
adjacent_vertex,2.2952329645480885,1.0009244789903664,4.041397673106775,0.5460655278633436,15_Vertices_0.4_Sparsity,2
vertex_to_global_color,2.324716763750846,0.9965229753736656,1.156740702514785,0.1218851570964247,15_Vertices_0.4_Sparsity,2
